Program Version:,EnergyPlus, Version 24.2.0-94a887817b, YMD=2025.04.10 17:22
Tabular Output Report in Format: ,Comma

Building:,HotelLarge
Environment:,RUNPERIOD 1 ** New York J F Kennedy IntL Ar NY USA TMY3 WMO#=744860

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [GJ],Energy Per Total Building Area [MJ/m2],Energy Per Conditioned Building Area [MJ/m2]
,Total Site Energy,9593.76,845.62,845.62
,Net Site Energy,9418.40,830.16,830.16
,Total Source Energy,19808.29,1745.95,1745.95
,Net Source Energy,19252.93,1697.00,1697.00


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating Water,3.613
,District Heating Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,11345.29
,Net Conditioned Building Area,11345.29
,Unconditioned Building Area,0.00


End Uses

,,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,Heating,0.00,667.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,967.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,439.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,150.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,1648.46,1788.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,390.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,600.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,78.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,106.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,90.74,2620.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9857.19
,Refrigeration,44.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,
,Total End Uses,4516.88,5076.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9857.19
Note: Natural gas appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,ElectricityPurchased:Plant,4341.52,54135.56,23-APR-13:00,358440.81,04-AUG-19:10
,Cogeneration:ElectricityPurchased,4341.52,54135.56,23-APR-13:00,358440.81,04-AUG-19:10
,General:Cogeneration:ElectricityPurchased,4341.52,54135.56,23-APR-13:00,358440.81,04-AUG-19:10
,ElectricitySurplusSold:Facility,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,ElectricitySurplusSold:Plant,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,Cogeneration:ElectricitySurplusSold,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,General:Cogeneration:ElectricitySurplusSold,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,ElectricityNet:Facility,4341.52,54135.56,23-APR-13:00,358440.81,04-AUG-19:10
,ElectricityNet:Plant,4341.52,54135.56,23-APR-13:00,358440.81,04-AUG-19:10
,Cogeneration:ElectricityNet,4341.52,54135.56,23-APR-13:00,358440.81,04-AUG-19:10
,General:Cogeneration:ElectricityNet,4341.52,54135.56,23-APR-13:00,358440.81,04-AUG-19:10
,General:Fans:Electricity,600.47,13398.09,27-MAR-03:00,32996.76,04-AUG-21:20
,ExteriorLights:Electricity,150.29,0.00,01-JAN-07:30,9571.94,01-JAN-00:10
,General:ExteriorLights:Electricity,150.29,0.00,01-JAN-07:30,9571.94,01-JAN-00:10
,ElevatorLift:ExteriorEquipment:Electricity,366.65,5383.28,01-JAN-00:10,22430.31,01-JAN-07:10
,ElevatorLightsFan:ExteriorEquipment:Electricity,2.45,15.80,01-JAN-00:10,157.97,01-JAN-07:10
,HeatRecovery:Electricity,106.95,0.00,03-JAN-08:00,8265.52,15-JUN-08:40
,General:HeatRecovery:Electricity,106.95,0.00,03-JAN-08:00,8265.52,15-JUN-08:40
,WaterSystems:Electricity,90.74,1086.56,17-NOV-04:00,4738.74,07-SEP-18:10
,Water Heater:WaterSystems:Electricity,90.74,1086.56,17-NOV-04:00,4738.74,07-SEP-18:10
,Heating:Electricity,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,Boiler Parasitic:Heating:Electricity,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,Cooling:Electricity,967.59,0.00,01-JAN-01:10,160314.02,04-AUG-18:40
,General:Cooling:Electricity,967.59,0.00,01-JAN-01:10,160314.02,04-AUG-18:40
,Pumps:Electricity,78.26,48.20,26-APR-07:50,4046.08,03-AUG-18:10
,General:Pumps:Electricity,78.26,48.20,26-APR-07:50,4046.08,03-AUG-18:10
,WIRED_LTG_ELECTRICITY,15.47,0.00,01-JAN-00:10,1275.80,02-JAN-20:20
Values shown are for all completed run periods - including any simulations run during sizing periods


Annual and Peak Values - Natural Gas

,,Natural Gas Annual Value [GJ],Natural Gas Minimum Value [W],Timestamp of Minimum {TIMESTAMP},Natural Gas Maximum Value [W],Timestamp of Maximum {TIMESTAMP}
,NaturalGas:Facility,5076.88,26805.16,28-MAR-02:00,462235.24,04-FEB-19:10
,NaturalGas:Building,1788.84,13361.90,02-JAN-02:10,104248.32,02-JAN-18:10
,NaturalGas:Zone:LAUNDRY_FLR_1,590.20,8363.49,02-JAN-02:10,39726.58,02-JAN-20:10
,NaturalGas:SpaceType:GENERAL,1788.84,13361.90,02-JAN-02:10,104248.32,02-JAN-18:10
,InteriorEquipment:NaturalGas,1788.84,13361.90,02-JAN-02:10,104248.32,02-JAN-18:10
,InteriorEquipment:NaturalGas:Zone:LAUNDRY_FLR_1,590.20,8363.49,02-JAN-02:10,39726.58,02-JAN-20:10
,InteriorEquipment:NaturalGas:SpaceType:GENERAL,1788.84,13361.90,02-JAN-02:10,104248.32,02-JAN-18:10
,Laundry:InteriorEquipment:NaturalGas,590.20,8363.49,02-JAN-02:10,39726.58,02-JAN-20:10
,Laundry:InteriorEquipment:NaturalGas:Zone:LAUNDRY_FLR_1,590.20,8363.49,02-JAN-02:10,39726.58,02-JAN-20:10
,Laundry:InteriorEquipment:NaturalGas:SpaceType:GENERAL,590.20,8363.49,02-JAN-02:10,39726.58,02-JAN-20:10
,NaturalGas:Zone:KITCHEN_FLR_6,1198.64,4998.41,01-JAN-00:10,74976.11,01-JAN-16:10
,InteriorEquipment:NaturalGas:Zone:KITCHEN_FLR_6,1198.64,4998.41,01-JAN-00:10,74976.11,01-JAN-16:10
,Cooking:InteriorEquipment:NaturalGas,1198.64,4998.41,01-JAN-00:10,74976.11,01-JAN-16:10
,Cooking:InteriorEquipment:NaturalGas:Zone:KITCHEN_FLR_6,1198.64,4998.41,01-JAN-00:10,74976.11,01-JAN-16:10
,Cooking:InteriorEquipment:NaturalGas:SpaceType:GENERAL,1198.64,4998.41,01-JAN-00:10,74976.11,01-JAN-16:10
,NaturalGas:Plant,3288.04,13443.27,02-JUN-15:20,378797.21,04-FEB-19:10
,WaterSystems:NaturalGas,2620.67,13443.27,24-AUG-09:00,244310.68,13-FEB-21:30
,Water Heater:WaterSystems:NaturalGas,2620.67,13443.27,24-AUG-09:00,244310.68,13-FEB-21:30
,Heating:NaturalGas,667.37,0.00,01-JAN-08:10,183249.76,15-JAN-16:20
,Boiler:Heating:NaturalGas,667.37,0.00,01-JAN-08:10,183249.76,15-JAN-16:20
,Boiler Parasitic:Heating:NaturalGas,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
Values shown are for all completed run periods - including any simulations run during sizing periods


Annual and Peak Values - Cooling

,,Cooling Annual Value [GJ],Cooling Minimum Value [W],Timestamp of Minimum {TIMESTAMP},Cooling Maximum Value [W],Timestamp of Maximum {TIMESTAMP}
,PlantLoopCoolingDemand:Facility,3292.35,0.00,01-JAN-01:10,565956.48,03-AUG-18:10
,PlantLoopCoolingDemand:HVAC,3292.35,0.00,01-JAN-01:10,565956.48,03-AUG-18:10
,CoolingCoils:PlantLoopCoolingDemand,3292.35,0.00,01-JAN-01:10,565956.48,03-AUG-18:10
Values shown are for all completed run periods - including any simulations run during sizing periods


Annual and Peak Values - Water

,,Annual Value [m3],Minimum Value [m3/s],Timestamp of Minimum {TIMESTAMP},Maximum Value [m3/s],Timestamp of Maximum {TIMESTAMP}
,Water:Facility,9857.19,0.00,02-JAN-01:10,0.00,02-JAN-21:10
,Water:Plant,9857.19,0.00,02-JAN-01:10,0.00,02-JAN-21:10
,WaterSystems:Water,9857.19,0.00,02-JAN-01:10,0.00,02-JAN-21:10
,Water Heater:WaterSystems:Water,5742.51,0.00,02-JAN-01:10,0.00,02-JAN-19:10
,MainsWater:Facility,9857.19,0.00,02-JAN-01:10,0.00,02-JAN-21:10
,MainsWater:Plant,9857.19,0.00,02-JAN-01:10,0.00,02-JAN-21:10
,WaterSystems:MainsWater,9857.19,0.00,02-JAN-01:10,0.00,02-JAN-21:10
,Water Heater:WaterSystems:MainsWater,5742.51,0.00,02-JAN-01:10,0.00,02-JAN-19:10
,WaterUse:WaterSystems:Water,4114.69,0.00,02-JAN-01:10,0.00,02-JAN-07:10
,WaterUse:WaterSystems:MainsWater,4114.69,0.00,02-JAN-01:10,0.00,02-JAN-07:10
Values shown are for all completed run periods - including any simulations run during sizing periods


Annual and Peak Values - Other by Weight/Mass

,,Annual Value [kg],Minimum Value [kg/s],Timestamp of Minimum {TIMESTAMP},Maximum Value [kg/s],Timestamp of Maximum {TIMESTAMP}
,Carbon Equivalent:Facility,0.00,0.000,01-JAN-00:10,0.000,01-JAN-00:10
,CarbonEquivalentEmissions:Carbon Equivalent,0.00,0.000,01-JAN-00:10,0.000,01-JAN-00:10
Values shown are for all completed run periods - including any simulations run during sizing periods


Annual and Peak Values - Other Volumetric

,,Annual Value [m3],Minimum Value [m3/s],Timestamp of Minimum {TIMESTAMP},Maximum Value [m3/s],Timestamp of Maximum {TIMESTAMP}
,None,,,,,
Values shown are for all completed run periods - including any simulations run during sizing periods


Annual and Peak Values - Other Liquid/Gas

,,Annual Value [L],Minimum Value [L],Timestamp of Minimum {TIMESTAMP},Maximum Value [L],Timestamp of Maximum {TIMESTAMP}
,None,,,,,
Values shown are for all completed run periods - including any simulations run during sizing periods


Annual and Peak Values - Other

,,Annual Value [GJ],Minimum Value [W],Timestamp of Minimum {TIMESTAMP},Maximum Value [W],Timestamp of Maximum {TIMESTAMP}
,EnergyTransfer:Facility,18882.44,125794.40,05-NOV-14:00,2329757.66,03-AUG-18:10
,EnergyTransfer:Building,4652.54,76196.04,01-JAN-15:00,303529.15,19-JUN-18:20
,EnergyTransfer:Zone:KITCHEN_FLR_6,690.70,8681.85,06-FEB-04:00,34381.00,09-JUL-10:40
,Refrigeration:EnergyTransfer,184.61,4017.25,11-APR-22:10,10371.03,13-OCT-06:40
,Refrigeration:EnergyTransfer:Zone:KITCHEN_FLR_6,92.30,2008.63,11-APR-22:10,5185.51,13-OCT-06:40
,General:Refrigeration:EnergyTransfer,92.30,2008.63,11-APR-22:10,5185.51,13-OCT-06:40
,General:Refrigeration:EnergyTransfer:Zone:KITCHEN_FLR_6,92.30,2008.63,11-APR-22:10,5185.51,13-OCT-06:40
,EnergyTransfer:Plant,9088.96,12801.35,14-NOV-03:50,1312925.43,03-AUG-18:10
,LowTempRefrigeration:Refrigeration:EnergyTransfer,21.63,0.00,01-JAN-11:10,2686.44,01-JAN-11:40
,MedTempRefrigeration:Refrigeration:EnergyTransfer,70.67,1996.44,12-APR-01:10,2559.69,18-MAY-13:10
,EnergyTransfer:Zone:BASEMENT,354.41,7620.66,28-MAY-14:00,15547.69,14-SEP-19:10
,Heating:EnergyTransfer,115.72,0.00,13-JAN-08:40,84878.42,14-JAN-16:20
,Heating:EnergyTransfer:Zone:BASEMENT,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,General:Heating:EnergyTransfer,115.72,0.00,13-JAN-08:40,84878.42,14-JAN-16:20
,General:Heating:EnergyTransfer:Zone:BASEMENT,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,Cooling:EnergyTransfer,4444.51,61921.17,08-JAN-15:00,299919.40,19-JUN-18:20
,Cooling:EnergyTransfer:Zone:BASEMENT,354.41,7620.66,28-MAY-14:00,15547.69,14-SEP-19:10
,General:Cooling:EnergyTransfer,4444.51,61921.17,08-JAN-15:00,299919.40,19-JUN-18:20
,General:Cooling:EnergyTransfer:Zone:BASEMENT,354.41,7620.66,28-MAY-14:00,15547.69,14-SEP-19:10
,EnergyTransfer:Zone:RETAIL_1_FLR_1,27.51,0.01,01-APR-11:40,2602.15,18-AUG-12:40
,Heating:EnergyTransfer:Zone:RETAIL_1_FLR_1,1.08,0.00,01-JAN-08:50,1204.78,02-JAN-07:20
,General:Heating:EnergyTransfer:Zone:RETAIL_1_FLR_1,1.08,0.00,01-JAN-08:50,1204.78,02-JAN-07:20
,Cooling:EnergyTransfer:Zone:RETAIL_1_FLR_1,26.43,0.00,01-JAN-00:10,2602.15,18-AUG-12:40
,General:Cooling:EnergyTransfer:Zone:RETAIL_1_FLR_1,26.43,0.00,01-JAN-00:10,2602.15,18-AUG-12:40
,EnergyTransfer:Zone:RETAIL_2_FLR_1,33.43,102.10,02-JAN-10:20,1692.35,24-AUG-19:00
,Heating:EnergyTransfer:Zone:RETAIL_2_FLR_1,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,General:Heating:EnergyTransfer:Zone:RETAIL_2_FLR_1,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,Cooling:EnergyTransfer:Zone:RETAIL_2_FLR_1,33.43,102.10,02-JAN-10:20,1692.35,24-AUG-19:00
,General:Cooling:EnergyTransfer:Zone:RETAIL_2_FLR_1,33.43,102.10,02-JAN-10:20,1692.35,24-AUG-19:00
,EnergyTransfer:Zone:MECH_FLR_1,7.79,0.02,01-FEB-14:20,1563.36,04-AUG-21:00
,Heating:EnergyTransfer:Zone:MECH_FLR_1,0.41,0.00,01-JAN-20:10,628.70,02-JAN-05:00
,General:Heating:EnergyTransfer:Zone:MECH_FLR_1,0.41,0.00,01-JAN-20:10,628.70,02-JAN-05:00
,Cooling:EnergyTransfer:Zone:MECH_FLR_1,7.39,0.00,01-JAN-00:10,1563.36,04-AUG-21:00
,General:Cooling:EnergyTransfer:Zone:MECH_FLR_1,7.39,0.00,01-JAN-00:10,1563.36,04-AUG-21:00
,EnergyTransfer:Zone:STORAGE_FLR_1,14.44,0.01,08-DEC-16:40,1015.33,08-JUL-10:40
,Heating:EnergyTransfer:Zone:STORAGE_FLR_1,0.87,0.00,03-JAN-19:10,544.01,06-FEB-10:20
,General:Heating:EnergyTransfer:Zone:STORAGE_FLR_1,0.87,0.00,03-JAN-19:10,544.01,06-FEB-10:20
,Cooling:EnergyTransfer:Zone:STORAGE_FLR_1,13.57,0.00,01-JAN-00:10,1015.33,08-JUL-10:40
,General:Cooling:EnergyTransfer:Zone:STORAGE_FLR_1,13.57,0.00,01-JAN-00:10,1015.33,08-JUL-10:40
,EnergyTransfer:Zone:LAUNDRY_FLR_1,580.09,7372.71,06-FEB-05:00,39115.31,04-AUG-20:00
,Heating:EnergyTransfer:Zone:LAUNDRY_FLR_1,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,General:Heating:EnergyTransfer:Zone:LAUNDRY_FLR_1,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,Cooling:EnergyTransfer:Zone:LAUNDRY_FLR_1,580.09,7372.71,06-FEB-05:00,39115.31,04-AUG-20:00
,General:Cooling:EnergyTransfer:Zone:LAUNDRY_FLR_1,580.09,7372.71,06-FEB-05:00,39115.31,04-AUG-20:00
,EnergyTransfer:Zone:CAFE_FLR_1,230.95,17.89,08-JAN-15:10,11547.01,04-SEP-10:40
,Heating:EnergyTransfer:Zone:CAFE_FLR_1,0.00,0.00,01-JAN-00:10,29.70,08-JAN-15:20
,General:Heating:EnergyTransfer:Zone:CAFE_FLR_1,0.00,0.00,01-JAN-00:10,29.70,08-JAN-15:20
,Cooling:EnergyTransfer:Zone:CAFE_FLR_1,230.95,0.00,08-JAN-15:00,11547.01,04-SEP-10:40
,General:Cooling:EnergyTransfer:Zone:CAFE_FLR_1,230.95,0.00,08-JAN-15:00,11547.01,04-SEP-10:40
,EnergyTransfer:Zone:LOBBY_FLR_1,760.67,6306.59,08-JAN-16:00,35244.88,04-AUG-21:10
,Heating:EnergyTransfer:Zone:LOBBY_FLR_1,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,General:Heating:EnergyTransfer:Zone:LOBBY_FLR_1,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,Cooling:EnergyTransfer:Zone:LOBBY_FLR_1,760.67,6306.59,08-JAN-16:00,35244.88,04-AUG-21:10
,General:Cooling:EnergyTransfer:Zone:LOBBY_FLR_1,760.67,6306.59,08-JAN-16:00,35244.88,04-AUG-21:10
,EnergyTransfer:Zone:ROOM_1_FLR_3,47.71,0.00,01-JAN-08:00,8798.38,02-AUG-15:20
,Heating:EnergyTransfer:Zone:ROOM_1_FLR_3,14.25,0.00,01-JAN-08:00,5980.79,14-JAN-16:20
,General:Heating:EnergyTransfer:Zone:ROOM_1_FLR_3,14.25,0.00,01-JAN-08:00,5980.79,14-JAN-16:20
,Cooling:EnergyTransfer:Zone:ROOM_1_FLR_3,33.46,0.00,01-JAN-00:10,8798.38,02-AUG-15:20
,General:Cooling:EnergyTransfer:Zone:ROOM_1_FLR_3,33.46,0.00,01-JAN-00:10,8798.38,02-AUG-15:20
,EnergyTransfer:Zone:ROOM_2_FLR_3,43.17,0.00,01-JAN-08:00,8465.00,02-AUG-15:20
,Heating:EnergyTransfer:Zone:ROOM_2_FLR_3,17.41,0.00,01-JAN-08:00,6054.92,14-JAN-16:20
,General:Heating:EnergyTransfer:Zone:ROOM_2_FLR_3,17.41,0.00,01-JAN-08:00,6054.92,14-JAN-16:20
,Cooling:EnergyTransfer:Zone:ROOM_2_FLR_3,25.77,0.00,01-JAN-00:10,8465.00,02-AUG-15:20
,General:Cooling:EnergyTransfer:Zone:ROOM_2_FLR_3,25.77,0.00,01-JAN-00:10,8465.00,02-AUG-15:20
,EnergyTransfer:Zone:ROOM_3_MULT19_FLR_3,187.65,0.00,01-JAN-00:10,30339.86,04-OCT-12:10
,Heating:EnergyTransfer:Zone:ROOM_3_MULT19_FLR_3,0.61,0.00,01-JAN-00:10,8392.50,02-JAN-05:00
,General:Heating:EnergyTransfer:Zone:ROOM_3_MULT19_FLR_3,0.61,0.00,01-JAN-00:10,8392.50,02-JAN-05:00
,Cooling:EnergyTransfer:Zone:ROOM_3_MULT19_FLR_3,187.04,0.00,01-JAN-00:10,30339.86,04-OCT-12:10
,General:Cooling:EnergyTransfer:Zone:ROOM_3_MULT19_FLR_3,187.04,0.00,01-JAN-00:10,30339.86,04-OCT-12:10
,EnergyTransfer:Zone:ROOM_4_MULT19_FLR_3,318.51,0.00,01-JAN-08:00,60281.72,23-JUN-08:10
,Heating:EnergyTransfer:Zone:ROOM_4_MULT19_FLR_3,23.16,0.00,01-JAN-08:00,42280.54,06-FEB-16:20
,General:Heating:EnergyTransfer:Zone:ROOM_4_MULT19_FLR_3,23.16,0.00,01-JAN-08:00,42280.54,06-FEB-16:20
,Cooling:EnergyTransfer:Zone:ROOM_4_MULT19_FLR_3,295.36,0.00,01-JAN-00:10,60281.72,23-JUN-08:10
,General:Cooling:EnergyTransfer:Zone:ROOM_4_MULT19_FLR_3,295.36,0.00,01-JAN-00:10,60281.72,23-JUN-08:10
,EnergyTransfer:Zone:ROOM_5_FLR_3,47.09,0.00,01-JAN-08:00,7842.87,14-JUL-08:10
,Heating:EnergyTransfer:Zone:ROOM_5_FLR_3,14.06,0.00,01-JAN-08:00,6015.24,14-JAN-16:20
,General:Heating:EnergyTransfer:Zone:ROOM_5_FLR_3,14.06,0.00,01-JAN-08:00,6015.24,14-JAN-16:20
,Cooling:EnergyTransfer:Zone:ROOM_5_FLR_3,33.03,0.00,01-JAN-00:10,7842.87,14-JUL-08:10
,General:Cooling:EnergyTransfer:Zone:ROOM_5_FLR_3,33.03,0.00,01-JAN-00:10,7842.87,14-JUL-08:10
,EnergyTransfer:Zone:ROOM_6_FLR_3,42.58,0.00,01-JAN-08:00,8299.38,22-JUN-08:10
,Heating:EnergyTransfer:Zone:ROOM_6_FLR_3,17.11,0.00,01-JAN-08:00,6085.35,14-JAN-16:20
,General:Heating:EnergyTransfer:Zone:ROOM_6_FLR_3,17.11,0.00,01-JAN-08:00,6085.35,14-JAN-16:20
,Cooling:EnergyTransfer:Zone:ROOM_6_FLR_3,25.47,0.00,01-JAN-00:10,8299.38,22-JUN-08:10
,General:Cooling:EnergyTransfer:Zone:ROOM_6_FLR_3,25.47,0.00,01-JAN-00:10,8299.38,22-JUN-08:10
,EnergyTransfer:Zone:CORRIDOR_FLR_3,143.14,0.11,05-JAN-15:40,8678.62,08-JUL-10:40
,Heating:EnergyTransfer:Zone:CORRIDOR_FLR_3,1.02,0.00,01-JAN-01:00,3086.36,14-JAN-16:30
,General:Heating:EnergyTransfer:Zone:CORRIDOR_FLR_3,1.02,0.00,01-JAN-01:00,3086.36,14-JAN-16:30
,Cooling:EnergyTransfer:Zone:CORRIDOR_FLR_3,142.11,0.00,01-JAN-00:10,8678.62,08-JUL-10:40
,General:Cooling:EnergyTransfer:Zone:CORRIDOR_FLR_3,142.11,0.00,01-JAN-00:10,8678.62,08-JUL-10:40
,EnergyTransfer:Zone:ROOM_1_FLR_6,14.18,0.00,01-JAN-08:00,2445.46,02-AUG-15:20
,Heating:EnergyTransfer:Zone:ROOM_1_FLR_6,5.52,0.00,01-JAN-08:00,1922.17,14-JAN-16:20
,General:Heating:EnergyTransfer:Zone:ROOM_1_FLR_6,5.52,0.00,01-JAN-08:00,1922.17,14-JAN-16:20
,Cooling:EnergyTransfer:Zone:ROOM_1_FLR_6,8.65,0.00,01-JAN-00:10,2445.46,02-AUG-15:20
,General:Cooling:EnergyTransfer:Zone:ROOM_1_FLR_6,8.65,0.00,01-JAN-00:10,2445.46,02-AUG-15:20
,EnergyTransfer:Zone:ROOM_2_FLR_6,13.36,0.00,01-JAN-08:00,2347.27,02-AUG-15:20
,Heating:EnergyTransfer:Zone:ROOM_2_FLR_6,6.53,0.00,01-JAN-08:00,1936.89,14-JAN-16:20
,General:Heating:EnergyTransfer:Zone:ROOM_2_FLR_6,6.53,0.00,01-JAN-08:00,1936.89,14-JAN-16:20
,Cooling:EnergyTransfer:Zone:ROOM_2_FLR_6,6.83,0.00,01-JAN-00:10,2347.27,02-AUG-15:20
,General:Cooling:EnergyTransfer:Zone:ROOM_2_FLR_6,6.83,0.00,01-JAN-00:10,2347.27,02-AUG-15:20
,EnergyTransfer:Zone:ROOM_3_MULT9_FLR_6,68.56,0.00,01-JAN-08:00,12027.04,04-OCT-15:20
,Heating:EnergyTransfer:Zone:ROOM_3_MULT9_FLR_6,12.28,0.00,01-JAN-08:00,9036.96,14-JAN-16:20
,General:Heating:EnergyTransfer:Zone:ROOM_3_MULT9_FLR_6,12.28,0.00,01-JAN-08:00,9036.96,14-JAN-16:20
,Cooling:EnergyTransfer:Zone:ROOM_3_MULT9_FLR_6,56.28,0.00,01-JAN-00:10,12027.04,04-OCT-15:20
,General:Cooling:EnergyTransfer:Zone:ROOM_3_MULT9_FLR_6,56.28,0.00,01-JAN-00:10,12027.04,04-OCT-15:20
,EnergyTransfer:Zone:BANQUET_FLR_6,473.16,7174.46,06-FEB-15:00,20706.09,04-AUG-21:20
,Heating:EnergyTransfer:Zone:BANQUET_FLR_6,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,General:Heating:EnergyTransfer:Zone:BANQUET_FLR_6,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,Cooling:EnergyTransfer:Zone:BANQUET_FLR_6,473.16,7174.46,06-FEB-15:00,20706.09,04-AUG-21:20
,General:Cooling:EnergyTransfer:Zone:BANQUET_FLR_6,473.16,7174.46,06-FEB-15:00,20706.09,04-AUG-21:20
,EnergyTransfer:Zone:DINING_FLR_6,497.75,8585.79,06-FEB-15:00,21846.61,04-AUG-22:00
,Heating:EnergyTransfer:Zone:DINING_FLR_6,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,General:Heating:EnergyTransfer:Zone:DINING_FLR_6,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,Cooling:EnergyTransfer:Zone:DINING_FLR_6,497.75,8585.79,06-FEB-15:00,21846.61,04-AUG-22:00
,General:Cooling:EnergyTransfer:Zone:DINING_FLR_6,497.75,8585.79,06-FEB-15:00,21846.61,04-AUG-22:00
,Heating:EnergyTransfer:Zone:KITCHEN_FLR_6,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,General:Heating:EnergyTransfer:Zone:KITCHEN_FLR_6,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,Cooling:EnergyTransfer:Zone:KITCHEN_FLR_6,598.40,6384.85,06-FEB-04:00,29293.05,09-JUL-10:40
,General:Cooling:EnergyTransfer:Zone:KITCHEN_FLR_6,598.40,6384.85,06-FEB-04:00,29293.05,09-JUL-10:40
,EnergyTransfer:Zone:CORRIDOR_FLR_6,55.68,0.07,07-JAN-01:40,5256.89,08-JUL-12:00
,Heating:EnergyTransfer:Zone:CORRIDOR_FLR_6,1.43,0.00,01-JAN-10:10,2498.23,02-JAN-07:20
,General:Heating:EnergyTransfer:Zone:CORRIDOR_FLR_6,1.43,0.00,01-JAN-10:10,2498.23,02-JAN-07:20
,Cooling:EnergyTransfer:Zone:CORRIDOR_FLR_6,54.24,0.00,01-JAN-00:10,5256.89,08-JUL-12:00
,General:Cooling:EnergyTransfer:Zone:CORRIDOR_FLR_6,54.24,0.00,01-JAN-00:10,5256.89,08-JUL-12:00
,PlantLoopHeatingDemand:Facility,1332.40,8504.44,11-AUG-02:00,168986.83,06-FEB-09:10
